TABLE_NAME	ORDINAL_POSITION	COLUMN_NAME	DATA_TYPE	COLUMN_TYPE	IS_NULLABLE	COLUMN_KEY	COLUMN_DEFAULT	EXTRA	REFERENCED_TABLE_NAME	REFERENCED_COLUMN_NAME
alerts	1	id	bigint	bigint	NO	PRI	NULL	auto_increment	NULL	NULL
alerts	2	resource_id	bigint	bigint	NO		NULL		NULL	NULL
alerts	3	metric_name	varchar	varchar(100)	NO		NULL		NULL	NULL
alerts	4	severity	varchar	varchar(20)	NO		NULL		NULL	NULL
alerts	5	current_value	double	double	NO		NULL		NULL	NULL
alerts	6	threshold	double	double	NO		NULL		NULL	NULL
alerts	7	status	varchar	varchar(20)	NO		NULL		NULL	NULL
alerts	8	value	double	double	YES		NULL		NULL	NULL
alerts	9	triggered_at	datetime	datetime	NO		NULL		NULL	NULL
alerts	10	resolved_at	datetime	datetime	YES		NULL		NULL	NULL
audit_logs	1	id	bigint	bigint	NO	PRI	NULL	auto_increment	NULL	NULL
audit_logs	2	actor	varchar	varchar(100)	YES		NULL		NULL	NULL
audit_logs	3	action	varchar	varchar(100)	YES		NULL		NULL	NULL
audit_logs	4	payload	json	json	YES		NULL		NULL	NULL
audit_logs	5	created_at	timestamp	timestamp	YES		CURRENT_TIMESTAMP	DEFAULT_GENERATED	NULL	NULL
aws_accounts	1	id	bigint	bigint	NO	PRI	NULL	auto_increment	NULL	NULL
aws_accounts	2	account_name	varchar	varchar(100)	NO		NULL		NULL	NULL
aws_accounts	3	account_id	varchar	varchar(20)	NO		NULL		NULL	NULL
aws_accounts	4	role_arn	varchar	varchar(255)	NO		NULL		NULL	NULL
aws_accounts	5	external_id	varchar	varchar(100)	YES		NULL		NULL	NULL
aws_accounts	6	default_region	varchar	varchar(20)	YES		ap-south-2		NULL	NULL
aws_accounts	7	status	enum	enum('active','inactive')	YES		active		NULL	NULL
aws_accounts	8	created_at	timestamp	timestamp	YES		CURRENT_TIMESTAMP	DEFAULT_GENERATED	NULL	NULL
aws_accounts	9	description	varchar	varchar(255)	YES		NULL		NULL	NULL
aws_accounts	10	onboarded_by	bigint	bigint	YES		NULL		NULL	NULL
aws_accounts	11	last_synced_at	timestamp	timestamp	YES		NULL		NULL	NULL
